Id,MSSubClass,LotArea,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,ExterQual,BsmtQual,TotalBsmtSF,CentralAir,Electrical,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,8450,CollgCr,2Story,7,5,2003,Gable,Gd,Gd,856,Y,SBrkr,1710,2,3,1,Gd,8,0,2,548,0,2,2008,WD,Normal,208500
2,20,9600,Veenker,1Story,6,8,1976,Gable,TA,Gd,1262,Y,SBrkr,1262,2,3,1,TA,6,1,2,460,0,5,2007,WD,Normal,181500
3,60,11250,CollgCr,2Story,7,5,2001,Gable,Gd,Gd,920,Y,SBrkr,1786,2,3,1,Gd,6,1,2,608,0,9,2008,WD,Normal,223500
4,70,9550,Crawfor,2Story,7,5,1915,Gable,TA,TA,756,Y,SBrkr,1717,1,3,1,Gd,7,1,3,642,0,2,2006,WD,Abnorml,140000
5,60,14260,NoRidge,2Story,8,5,2000,Gable,Gd,Gd,1145,Y,SBrkr,2198,2,4,1,Gd,9,1,3,836,0,12,2008,WD,Normal,250000
6,50,14115,Mitchel,1.5Fin,5,5,1993,Gable,TA,Gd,796,Y,SBrkr,1362,1,1,1,TA,5,0,2,480,0,10,2009,WD,Normal,143000
7,20,10084,Somerst,1Story,8,5,2004,Gable,Gd,Ex,1686,Y,SBrkr,1694,2,3,1,Gd,7,1,2,636,0,8,2007,WD,Normal,307000
8,60,10382,NWAmes,2Story,7,6,1973,Gable,TA,Gd,1107,Y,SBrkr,2090,2,3,1,TA,7,2,2,484,0,11,2009,WD,Normal,200000
9,50,6120,OldTown,1.5Fin,7,5,1931,Gable,TA,TA,952,Y,FuseF,1774,2,2,2,TA,8,2,2,468,0,4,2008,WD,Abnorml,129900
10,190,7420,BrkSide,1.5Unf,5,6,1939,Gable,TA,TA,991,Y,SBrkr,1077,1,2,2,TA,5,2,1,205,0,1,2008,WD,Normal,118000
11,20,11200,Sawyer,1Story,5,5,1965,Hip,TA,TA,1040,Y,SBrkr,1040,1,3,1,TA,5,0,1,384,0,2,2008,WD,Normal,129500
12,60,11924,NridgHt,2Story,9,5,2005,Hip,Ex,Ex,1175,Y,SBrkr,2324,3,4,1,Ex,11,2,3,736,0,7,2006,New,Partial,345000
13,20,12968,Sawyer,1Story,5,6,1962,Hip,TA,TA,912,Y,SBrkr,912,1,2,1,TA,4,0,1,352,0,9,2008,WD,Normal,144000
14,20,10652,CollgCr,1Story,7,5,2006,Gable,Gd,Gd,1494,Y,SBrkr,1494,2,3,1,Gd,7,1,3,840,0,8,2007,New,Partial,279500
15,20,10920,NAmes,1Story,6,5,1960,Hip,TA,TA,1253,Y,SBrkr,1253,1,2,1,TA,5,1,1,352,0,5,2008,WD,Normal,157000
16,45,6120,BrkSide,1.5Unf,7,8,1929,Gable,TA,TA,832,Y,FuseA,854,1,2,1,TA,5,0,2,576,0,7,2007,WD,Normal,132000
17,20,11241,NAmes,1Story,6,7,1970,Gable,TA,TA,1004,Y,SBrkr,1004,1,2,1,TA,5,1,2,480,0,3,2010,WD,Normal,149000
18,90,10791,Sawyer,1Story,4,5,1967,Gable,TA,NA,0,Y,SBrkr,1296,2,2,2,TA,6,0,2,516,0,10,2006,WD,Normal,90000
19,20,13695,SawyerW,1Story,5,5,2004,Gable,TA,TA,1114,Y,SBrkr,1114,1,3,1,Gd,6,0,2,576,0,6,2008,WD,Normal,159000
20,20,7560,NAmes,1Story,5,6,1958,Hip,TA,TA,1029,Y,SBrkr,1339,1,3,1,TA,6,0,1,294,0,5,2009,COD,Abnorml,139000
21,60,14215,NridgHt,2Story,8,5,2005,Gable,Gd,Ex,1158,Y,SBrkr,2376,3,4,1,Gd,9,1,3,853,0,11,2006,New,Partial,325300
22,45,7449,IDOTRR,1.5Unf,7,7,1930,Gable,TA,TA,637,Y,FuseF,1108,1,3,1,Gd,6,1,1,280,0,6,2007,WD,Normal,139400
23,20,9742,CollgCr,1Story,8,5,2002,Hip,Gd,Gd,1777,Y,SBrkr,1795,2,3,1,Gd,7,1,2,534,0,9,2008,WD,Normal,230000
24,120,4224,MeadowV,1Story,5,7,1976,Gable,TA,Gd,1040,Y,SBrkr,1060,1,3,1,TA,6,1,2,572,0,6,2007,WD,Normal,129900
25,20,8246,Sawyer,1Story,5,8,1968,Gable,TA,TA,1060,Y,SBrkr,1060,1,3,1,Gd,6,1,1,270,0,5,2010,WD,Normal,154000
26,20,14230,NridgHt,1Story,8,5,2007,Gable,Gd,Gd,1566,Y,SBrkr,1600,2,3,1,Gd,7,1,3,890,0,7,2009,WD,Normal,256300
27,20,7200,NAmes,1Story,5,7,1951,Gable,TA,TA,900,Y,SBrkr,900,1,3,1,Gd,5,0,2,576,0,5,2010,WD,Normal,134800
28,20,11478,NridgHt,1Story,8,5,2007,Gable,Gd,Ex,1704,Y,SBrkr,1704,2,3,1,Gd,7,1,3,772,0,5,2010,WD,Normal,306000
29,20,16321,NAmes,1Story,5,6,1957,Gable,TA,TA,1484,Y,SBrkr,1600,1,2,1,TA,6,2,1,319,0,12,2006,WD,Normal,207500
30,30,6324,BrkSide,1Story,4,6,1927,Gable,TA,TA,520,N,SBrkr,520,1,1,1,Fa,4,0,1,240,0,5,2008,WD,Normal,68500
31,70,8500,IDOTRR,2Story,4,4,1920,Gambrel,TA,TA,649,N,SBrkr,1317,1,3,1,TA,6,0,1,250,0,7,2008,WD,Normal,40000
32,20,8544,Sawyer,1Story,5,6,1966,Gable,TA,TA,1228,Y,SBrkr,1228,1,3,1,Gd,6,0,1,271,0,6,2008,WD,Normal,149350
33,20,11049,CollgCr,1Story,8,5,2007,Gable,Gd,Ex,1234,Y,SBrkr,1234,2,3,1,Gd,7,0,2,484,0,1,2008,WD,Normal,179900
34,20,10552,NAmes,1Story,5,5,1959,Hip,TA,TA,1398,Y,SBrkr,1700,1,4,1,Gd,6,1,2,447,0,4,2010,WD,Normal,165500
35,120,7313,NridgHt,1Story,9,5,2005,Hip,Ex,Ex,1561,Y,SBrkr,1561,2,2,1,Ex,6,1,2,556,0,8,2007,WD,Normal,277500
36,60,13418,NridgHt,2Story,8,5,2004,Gable,Gd,Ex,1117,Y,SBrkr,2452,3,4,1,Gd,9,1,3,691,0,9,2006,WD,Normal,309000
37,20,10859,CollgCr,1Story,5,5,1994,Gable,TA,Gd,1097,Y,SBrkr,1097,1,3,1,TA,6,0,2,672,0,6,2009,WD,Normal,145000
38,20,8532,NAmes,1Story,5,6,1954,Hip,TA,TA,1297,Y,SBrkr,1297,1,3,1,TA,5,1,2,498,0,10,2009,WD,Normal,153000
